,name,brand,old_price,new_price,discount
0,Трусы 2 шт.,Aeronautica Militare,19600,7890,59.744897959183675
1,Трусы 2 шт.,Aeronautica Militare,21800,5768,73.54128440366972
2,Носки 3 пары 3P RS Uni CC,Boss,15100,10590,29.867549668874176
3,Футболки 3 шт.,Boss,33800,23690,29.911242603550292
4,Футболки 3 шт. T-SHIRT RN TRIPLET P,Hugo,33800,21990,34.94082840236686
5,Футболка,Armani Exchange,32300,16792,48.01238390092879
6,Носки 3 пары 3P RS Uni CC,Boss,15100,12090,19.933774834437088
7,Футболки 3 шт. TShirt RN 3P Classic,Boss,33800,23690,29.911242603550292
8,Куртка утепленная RICHMOND,John Richmond,432200,69192,83.99074502545118
9,Футболка Dikobra,Hugo,43100,30190,29.95359628770302
10,Джинсы,Armani Exchange,86300,48392,43.925840092699886
11,Трусы 3 шт.,Boss,45200,29390,34.9778761061947
12,Носки 3 пары,Boss,15100,10590,29.867549668874176
13,Футболки 3 шт. TShirt RN 3P Classic,Boss,33800,23690,29.911242603550292
14,Трусы 3 шт.,Diesel,31300,21990,29.7444089456869
15,Рубашка Relegant,Boss,57200,40090,29.912587412587413
16,Кроссовки Leon_Runn_nypu_N,Hugo,112500,42218,62.47288888888889
17,Галстук Tie cm 6,Hugo,41100,28800,29.927007299270073
18,Носки 2 пары 2P RS Iconic CC,Boss,15100,9900,34.437086092715234
19,Носки 3 пары 3P RS Fine Rib CC,Boss,22500,10118,55.03111111111111
20,Джинсы Jonah,Hugo,68600,48090,29.89795918367348
21,Футболки 3 шт. T-SHIRT RN TRIPLET P,Hugo,33800,27090,19.852071005917153
22,Футболка,Armani Exchange,34300,16472,51.97667638483965
23,Носки 3 пары 3P RS Fine Rib CC,Boss,22500,10118,55.03111111111111
24,Джинсы HUGO 708,Hugo,85700,59990,30.0
25,Носки 6 пар 6P QS RIB LOGO CC,Hugo,25000,19990,20.040000000000006
26,Олимпийка Mix&Match Jacket Z,Boss,45200,36190,19.93362831858407
27,Кроссовки Leon_Runn_nypu_N,Hugo,112500,42218,62.47288888888889
28,Джемпер,Malagrida,60300,48290,19.91708126036484
29,Поло,EA7,49800,20930,57.971887550200805
30,Джинсы,John Richmond,242100,38792,83.97686906237092
31,Свитшот,Armani Exchange,80100,44872,43.98002496878901
32,Брюки,Malagrida,62400,32472,47.96153846153847
33,Кроссовки Titanium Runn,Boss,83100,70690,14.933814681107108
34,Худи Duratschi223,Hugo,79000,43490,44.949367088607595
35,Футболка,Armani Exchange,38500,18472,52.020779220779225
36,Кроссовки,Boss,136100,81690,39.977957384276266
37,Брюки спортивные,Aeronautica Militare,92800,64990,29.967672413793096
38,Кроссовки Kane_Runn_cvpu,Hugo,114300,74300,34.99562554680665
39,Водолазка,Malagrida,39500,33590,14.962025316455694
40,Джинсы,Armani Exchange,86300,69090,19.942062572421776
41,Костюм спортивный CORE ID M,EA7,107400,56413,47.47392923649907
42,Брюки спортивные,Aeronautica Militare,92800,74290,19.946120689655174
43,Носки 5 пар 5P RS Uni CC,Boss,30200,24190,19.900662251655632
44,Пуховик,Armani Exchange,140400,91290,34.97863247863248
45,Джинсы,Armani Exchange,86300,41432,51.99073001158749
46,Худи Dimonihood,Hugo,68600,44700,34.839650145772595
47,Брюки спортивные Dayote232,Hugo,54600,38290,29.871794871794876
48,Брюки,Malagrida,62400,43690,29.983974358974365
49,Поло,Malagrida,83200,62390,25.012019230769226
50,Джемпер,Aeronautica Militare,71000,49690,30.014084507042256
51,Джинсы,Armani Exchange,86300,69090,19.942062572421776
52,Водолазка Avac_M,Boss,100200,70190,29.9500998003992
53,Джемпер,Malagrida,82700,21743,73.70858524788392
54,Носки 3 пары,Diesel,19500,9518,51.18974358974359
55,Футболка,Karl Lagerfeld,63500,35592,43.9496062992126
56,Кроссовки Parkour-L Runn,Boss,103400,82700,20.01934235976789
57,Олимпийка,Boss,136100,88500,34.97428361498898
58,Поло Golf Pro M Polo,EA7,65400,32053,50.989296636085626
59,Кроссовки Zayn_Lowp,Boss,119400,95590,19.941373534338354
60,Худи Dagunoso,Hugo,88800,57800,34.90990990990991
61,Кардиган,Malagrida,60300,48290,19.91708126036484
62,Костюм спортивный,Hugo,123100,98490,19.991876523151902
63,Кроссовки Parkour-L_Runn_rsmx,Boss,142300,113890,19.964862965565715
64,Джинсы,Armani Exchange,86300,44872,48.00463499420625
65,Брюки C-Perin-RDS-233,Boss,140600,52718,62.5049786628734
66,Кеды,Hide & Jack,159300,111590,29.949780288763336
67,Куртка утепленная,Liu Jo Uomo,131900,105590,19.946929492039416
68,Поло,Malagrida,83200,62390,25.012019230769226
69,Халат домашний,Boss,86200,60390,29.941995359628777
70,Куртка утепленная,Armani Exchange,249500,199590,20.00400801603206
71,Кардиган,Malagrida,60300,48290,19.91708126036484
72,Халат домашний,Boss,86200,60390,29.941995359628777
73,Пуховик,Hugo,320900,256790,19.978186350888123
74,Брюки,Boss,93000,65090,30.010752688172033
75,Джемпер Kapoksi,Boss,88800,66590,25.011261261261268
76,Поло,Malagrida,83200,62390,25.012019230769226
77,Джемпер Ebrando-P,Boss,108500,81390,24.986175115207374
78,Джемпер Avac_C,Boss,88800,71090,19.943693693693703
79,Кроссовки,Plein Sport,236300,53168,77.49978840457047
80,Брюки спортивные AHTLETIC MIX M,EA7,83100,32053,61.42839951865223
81,Олимпийка Tracksuit Jacket,Boss,90400,72390,19.922566371681413
82,Кроссовки,Blauer,119700,95790,19.974937343358405
83,Пуховик,Duvetica,438000,147818,66.25159817351599
84,Джемпер Anion,Boss,82100,65690,19.98781973203411
85,Брюки,Aeronautica Militare,108300,86690,19.95383194829178
86,Кроссовки BLACK&WHITE VINTAGE,EA7,128100,53823,57.98360655737705
87,Брюки спортивные,Blauer USA,65900,34312,47.93323216995448
88,Худи,Armani Exchange,109200,52472,51.94871794871795
89,Джинсы,Karl Lagerfeld,112400,62952,43.99288256227758
90,Брюки,CC Collection Corneliani,179400,86160,51.97324414715719
91,Пуховик Melmus2341,Hugo,374400,168518,54.989850427350426
92,Джемпер,Aeronautica Militare,109900,76990,29.94540491355778
93,Кроссовки Kane_Runn_pumx,Hugo,123100,98490,19.991876523151902
94,Кроссовки Leon_Runn_mxmt,Hugo,126800,47543,62.50552050473186
95,Брюки,Boss,85700,64290,24.982497082847146
96,Куртка утепленная Oden1,Boss,156800,125490,19.968112244897966
97,Джинсы H-Re.Maine,Boss,114300,91490,19.9562554680665
98,Свитер,Aeronautica Militare,115600,80990,29.939446366782008
99,Брюки спортивные LOGO SERIES M,EA7,69200,26663,61.46965317919075
100,Пуховик Melmus,Hugo,392500,313990,20.002547770700644
